-1 13-0-0-0 12-1-0-0 11-2-0-0 10-3-0-0 9-4-0-0 8-5-0-0 7-6-0-0 11-1-1-0 10-2-1-0 9-3-1-0 8-4-1-0 7-5-1-0 6-6-1-0 9-2-2-0 8-3-2-0 7-4-2-0 6-5-2-0 7-3-3-0 6-4-3-0 5-5-3-0 5-4-4-0 10-1-1-1 9-2-1-1 8-3-1-1 7-4-1-1 6-5-1-1 8-2-2-1 7-3-2-1 6-4-2-1 5-5-2-1 6-3-3-1 5-4-3-1 4-4-4-1 7-2-2-2 6-3-2-2 5-4-2-2 5-3-3-2 4-4-3-2 4-3-3-3
32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Total output: 1000000
Generated 1000000 deals
