S H D C Bid Vul Combo NO -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 avg ParPos ParNeg noPar b000 b001 b010 b011 b100 b101 b110 b111 b1xx bx1x bxx1 
(KQJ765) 2 6532 54 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 2 6532 54 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 20 20 0 40 0 20 0 0 20 40 80 
(KQJ765) 54 2 6532 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 54 2 6532 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
(KQJ765) 54 2 6532 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 54 2 6532 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 20 20 0 40 0 20 0 0 20 40 80 
(KQJ765) 2 54 6532 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 2 54 6532 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
(KQJ765) 2 54 6532 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 2 54 6532 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 20 20 0 40 0 20 0 0 20 40 80 
6532 (KQJ765) 54 2 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
6532 (KQJ765) 54 2 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
6532 (KQJ765) 54 2 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
6532 (KQJ765) 54 2 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
6532 (KQJ765) 2 54 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
6532 (KQJ765) 2 54 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
6532 (KQJ765) 2 54 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
6532 (KQJ765) 2 54 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
54 (KQJ765) 6532 2 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 20 20 0 20 0 0 0 60 0 20 80 20 100 
54 (KQJ765) 6532 2 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 20 0 80 0 40 0 40 0 20 0 0 20 40 100 
54 (KQJ765) 6532 2 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 20 20 60 0 20 0 40 0 20 0 20 40 60 100 
54 (KQJ765) 6532 2 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
2 (KQJ765) 6532 54 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
2 (KQJ765) 6532 54 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
2 (KQJ765) 6532 54 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
2 (KQJ765) 6532 54 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
54 (KQJ765) 2 6532 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 20 20 0 20 0 0 0 60 0 20 80 20 100 
54 (KQJ765) 2 6532 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 20 0 80 0 40 0 40 0 20 0 0 20 40 100 
54 (KQJ765) 2 6532 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 20 20 60 0 20 0 40 0 20 0 20 40 60 100 
54 (KQJ765) 2 6532 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
2 (KQJ765) 54 6532 H EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
2 (KQJ765) 54 6532 H -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
2 (KQJ765) 54 6532 H ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
2 (KQJ765) 54 6532 H NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
6532 54 (KQJ765) 2 D EW KQJ765 60 0 0 0 0 0 0 0 0 0 0 0 20 0 20 6 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
6532 54 (KQJ765) 2 D -- KQJ765 40 0 0 0 0 0 0 0 0 0 0 40 0 20 0 4.67 20 0 80 0 40 0 0 40 20 0 0 60 0 60 
6532 54 (KQJ765) 2 D ++ KQJ765 60 0 0 0 0 0 0 0 0 0 0 20 0 0 20 5.5 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
6532 54 (KQJ765) 2 D NS KQJ765 40 0 0 0 0 0 0 0 0 0 20 20 20 0 0 4 20 0 80 40 0 20 0 20 20 0 0 40 20 20 
6532 2 (KQJ765) 54 D EW KQJ765 40 0 0 0 0 0 0 0 0 0 0 0 40 0 20 5.67 20 40 40 0 0 0 0 40 20 0 40 100 40 60 
6532 2 (KQJ765) 54 D -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 20 0 4.75 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
6532 2 (KQJ765) 54 D ++ KQJ765 40 0 0 0 0 0 0 0 0 0 0 20 20 0 20 5.33 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
6532 2 (KQJ765) 54 D NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 20 40 0 0 4.25 40 0 60 40 0 20 0 0 40 0 0 40 20 40 
54 6532 (KQJ765) 2 D EW KQJ765 60 0 0 0 0 0 0 0 0 0 0 0 20 0 20 6 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
54 6532 (KQJ765) 2 D -- KQJ765 40 0 0 0 0 0 0 0 0 0 0 40 0 20 0 4.67 20 0 80 0 40 20 0 20 20 0 0 40 20 60 
54 6532 (KQJ765) 2 D ++ KQJ765 60 0 0 0 0 0 0 0 0 0 0 20 0 0 20 5.5 0 20 80 0 20 20 0 40 0 0 20 60 40 40 
54 6532 (KQJ765) 2 D NS KQJ765 40 0 0 0 0 0 0 0 0 0 20 20 20 0 0 4 20 0 80 40 0 20 0 20 20 0 0 40 20 20 
2 6532 (KQJ765) 54 D EW KQJ765 40 0 0 0 0 0 0 0 0 0 0 0 40 0 20 5.67 20 40 40 0 0 0 0 40 20 0 40 100 40 60 
2 6532 (KQJ765) 54 D -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 20 0 4.75 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
2 6532 (KQJ765) 54 D ++ KQJ765 40 0 0 0 0 0 0 0 0 0 0 20 20 0 20 5.33 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
2 6532 (KQJ765) 54 D NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 20 40 0 0 4.25 40 0 60 40 0 20 0 0 40 0 0 40 20 40 
54 2 (KQJ765) 6532 D EW KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 0 20 5 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
54 2 (KQJ765) 6532 D -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 20 0 4.5 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
54 2 (KQJ765) 6532 D ++ KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 0 20 4.75 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
54 2 (KQJ765) 6532 D NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 40 20 0 0 4 40 0 60 40 0 0 0 20 40 0 0 60 0 40 
2 54 (KQJ765) 6532 D EW KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 0 20 5 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
2 54 (KQJ765) 6532 D -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 20 0 4.5 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
2 54 (KQJ765) 6532 D ++ KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 0 20 4.75 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
2 54 (KQJ765) 6532 D NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 60 0 40 40 0 0 0 0 60 0 0 60 0 60 
6532 54 2 (KQJ765) C EW KQJ765 60 0 0 0 0 0 0 0 0 0 0 0 20 0 20 6 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
6532 54 2 (KQJ765) C -- KQJ765 40 0 0 0 0 0 0 0 0 0 0 40 0 20 0 4.67 20 0 80 0 40 0 0 40 20 0 0 60 0 60 
6532 54 2 (KQJ765) C ++ KQJ765 60 0 0 0 0 0 0 0 0 0 0 20 0 0 20 5.5 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
6532 54 2 (KQJ765) C NS KQJ765 40 0 0 0 0 0 0 0 0 0 20 20 20 0 0 4 20 0 80 40 0 20 0 20 20 0 0 40 20 20 
6532 2 54 (KQJ765) C EW KQJ765 40 0 0 0 0 0 0 0 0 0 0 0 40 0 20 5.67 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
6532 2 54 (KQJ765) C -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 20 0 4.75 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
6532 2 54 (KQJ765) C ++ KQJ765 40 0 0 0 0 0 0 0 0 0 0 20 20 0 20 5.33 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
6532 2 54 (KQJ765) C NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 20 40 0 0 4.25 40 0 60 40 0 20 0 0 40 0 0 40 20 40 
54 6532 2 (KQJ765) C EW KQJ765 60 0 0 0 0 0 0 0 0 0 0 0 20 0 20 6 0 20 80 0 20 0 0 60 0 0 20 80 20 40 
54 6532 2 (KQJ765) C -- KQJ765 40 0 0 0 0 0 0 0 0 0 0 40 0 20 0 4.67 20 0 80 0 40 20 0 20 20 0 0 40 20 60 
54 6532 2 (KQJ765) C ++ KQJ765 60 0 0 0 0 0 0 0 0 0 0 20 0 0 20 5.5 0 20 80 0 20 20 0 40 0 0 20 60 40 40 
54 6532 2 (KQJ765) C NS KQJ765 40 0 0 0 0 0 0 0 0 0 20 20 20 0 0 4 20 0 80 40 0 20 0 20 20 0 0 40 20 20 
2 6532 54 (KQJ765) C EW KQJ765 40 0 0 0 0 0 0 0 0 0 0 0 40 0 20 5.67 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
2 6532 54 (KQJ765) C -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 20 0 4.75 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
2 6532 54 (KQJ765) C ++ KQJ765 40 0 0 0 0 0 0 0 0 0 0 20 20 0 20 5.33 20 20 60 0 20 0 0 40 20 0 20 80 20 60 
2 6532 54 (KQJ765) C NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 20 40 0 0 4.25 40 0 60 40 0 20 0 0 40 0 0 40 20 40 
54 2 6532 (KQJ765) C EW KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 0 20 5 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
54 2 6532 (KQJ765) C -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 20 0 4.5 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
54 2 6532 (KQJ765) C ++ KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 0 20 4.75 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
54 2 6532 (KQJ765) C NS KQJ765 20 0 0 0 0 0 0 0 0 0 20 40 20 0 0 4 40 0 60 40 0 0 0 20 40 0 0 60 0 40 
2 54 6532 (KQJ765) C EW KQJ765 20 0 0 0 0 0 0 0 0 0 0 40 20 0 20 5 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
2 54 6532 (KQJ765) C -- KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 20 0 4.5 40 0 60 0 40 0 0 20 40 0 0 60 0 80 
2 54 6532 (KQJ765) C ++ KQJ765 20 0 0 0 0 0 0 0 0 0 0 60 0 0 20 4.75 40 20 40 0 20 0 0 20 40 0 20 80 20 80 
2 54 6532 (KQJ765) C NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 60 0 40 40 0 0 0 0 60 0 0 60 0 60 
